# Maximal Sidon Set per N=100000
# Cardinality (K): 321
# Base Geometry: Singer q=331 (v=109893)
# Hall Multiplier: k=5
# Density: 1.015 * sqrt(N)
# Execution Time: 11.408 seconds

       1,     10,    260,    413,    739,   1241,   1524,   1684,   2393,   2404
    3627,   3932,   4054,   4293,   4391,   4852,   5452,   5490,   5859,   5916
    5974,   6556,   7213,   7280,   7282,   8332,   8815,   8856,   9631,   9750
    9835,   9913,  10456,  10461,  10471,  10717,  10951,  11294,  11881,  11916
   12146,  13514,  14732,  15578,  16370,  16494,  16544,  16760,  16828,  17055
   17541,  17834,  17934,  18243,  18581,  18853,  19021,  19405,  19620,  19652
   19786,  19993,  20353,  20523,  20868,  21727,  21780,  21804,  22691,  23744
   23905,  24090,  24322,  24476,  24699,  25826,  25961,  26079,  26173,  26296
   26575,  26842,  27038,  29284,  29346,  29638,  29652,  30039,  30120,  30302
   30333,  30491,  30731,  31398,  31576,  31598,  31658,  31834,  32949,  33055
   33227,  33489,  34232,  34275,  34321,  34442,  35290,  35666,  35891,  35903
   35909,  36483,  36799,  37222,  38076,  38128,  38494,  39030,  39075,  39379
   39386,  39567,  40377,  41272,  41759,  42453,  42908,  42950,  43060,  43481
   43578,  43626,  43716,  44656,  45091,  45315,  45825,  46069,  46973,  47263
   47804,  48258,  48431,  48581,  48729,  48790,  48830,  49792,  50499,  50884
   51594,  51660,  51699,  52338,  52429,  52546,  52935,  52999,  53189,  53474
   53925,  54111,  54244,  54387,  54995,  55104,  55433,  55790,  56104,  56141
   56306,  56535,  56804,  56931,  56948,  57125,  57176,  57331,  57456,  58673
   58904,  59453,  59457,  59650,  59754,  60739,  61186,  61715,  62028,  62502
   63185,  63641,  63754,  63916,  63937,  64057,  64226,  64357,  64672,  64771
   67119,  67147,  67221,  67596,  68062,  68697,  68751,  68888,  69190,  69216
   69820,  69839,  70147,  70250,  70399,  70632,  70843,  70990,  71023,  71523
   71887,  71960,  72284,  72614,  72637,  73113,  73140,  73757,  74800,  75041
   75117,  75522,  75605,  75606,  75661,  76975,  77577,  78330,  78379,  78821
   78914,  78985,  79188,  79253,  79508,  79848,  79956,  80170,  80532,  80992
   81400,  81664,  81792,  81921,  81934,  82220,  82693,  83666,  83702,  83777
   84580,  84660,  84676,  84898,  85308,  85656,  85786,  85981,  86006,  86165
   86794,  87216,  87219,  87733,  87805,  87884,  87931,  88157,  88438,  88808
   89406,  89426,  89821,  90227,  90315,  90592,  90784,  90843,  91940,  92111
   92141,  92227,  92359,  92515,  93173,  93464,  93921,  94253,  94595,  95413
   95500,  95570,  95933,  96112,  96175,  96204,  96311,  96894,  97445,  97540
   97895,  98007,  98041,  98228,  98732,  98907,  98951,  99287,  99295,  99800
   99940
