# Maximal Sidon Set per N=75000
# Cardinality (K): 281
# Base Geometry: Singer q=283 (v=80373)
# Hall Multiplier: k=179
# Density: 1.026 * sqrt(N)
# Execution Time: 5.698 seconds

       1,     45,     62,    483,    504,    533,    546,   1411,   1484,   1525
    1764,   1868,   2173,   2980,   3202,   3506,   3737,   4386,   4532,   4630
    4785,   5195,   5357,   5597,   5722,   5918,   6095,   7171,   7586,   7879
    8233,   8328,   8824,   9460,   9874,   9905,   9941,  10010,  10776,  10932
   10954,  11181,  11282,  11622,  11973,  12133,  12275,  12302,  12682,  13238
   13354,  13818,  13869,  14221,  14360,  14462,  14913,  15047,  15146,  15303
   15447,  15533,  15732,  16016,  16605,  16900,  17143,  17334,  17487,  17521
   17566,  17937,  17974,  18434,  18840,  19154,  19170,  19451,  19452,  19991
   20215,  20550,  20849,  21322,  22447,  23402,  23454,  23595,  23785,  24222
   24863,  25200,  25218,  25226,  25315,  25392,  25488,  25784,  26462,  27080
   27363,  27393,  27421,  27572,  27930,  28377,  28504,  28794,  29519,  29828
   30662,  31589,  31718,  31800,  32066,  32146,  32294,  32313,  32360,  32565
   33041,  33247,  33417,  33619,  33742,  33879,  34217,  34249,  34707,  35386
   35518,  35797,  35961,  36229,  36267,  36585,  36872,  37007,  37126,  37442
   37776,  38265,  38473,  40159,  40251,  40401,  40405,  40469,  40525,  41127
   41181,  41184,  41404,  42602,  42749,  43395,  43420,  43501,  43508,  43941
   44001,  44127,  44249,  44675,  44715,  44864,  44951,  45312,  45672,  45784
   45979,  46070,  46208,  46251,  46587,  46824,  47012,  47018,  47263,  47497
   47625,  47640,  47718,  48007,  48753,  49255,  49471,  50070,  50132,  50141
   50241,  50444,  50458,  51058,  51113,  51578,  51681,  51900,  52463,  52713
   52783,  52968,  53040,  53307,  53622,  53945,  54470,  54622,  54633,  54834
   55034,  55145,  55998,  56236,  56395,  56418,  57128,  57148,  57831,  58244
   58277,  58791,  58975,  59731,  59815,  60283,  60366,  60713,  60761,  61157
   61575,  61907,  61917,  61956,  62652,  63269,  63542,  63618,  63725,  63749
   64547,  64772,  65246,  65632,  65762,  65808,  66021,  66023,  66551,  66716
   67306,  67381,  68322,  68432,  68467,  68526,  68600,  68826,  69118,  69171
   69183,  69381,  69714,  69835,  70343,  70953,  71128,  71133,  71218,  71737
   73153,  73444,  73616,  73813,  74077,  74217,  74335,  74452,  74610,  74771
   74879
