# Maximal Sidon Set per N=50000
# Cardinality (K): 229
# Base Geometry: Singer q=229 (v=52671)
# Hall Multiplier: k=286
# Density: 1.024 * sqrt(N)
# Execution Time: 5.466 seconds

       1,     48,    263,    311,    350,    369,    476,    633,   1225,   1496
    1562,   1586,   1936,   1953,   2099,   2749,   2872,   2880,   3128,   3433
    3462,   3513,   3642,   3951,   4201,   4419,   4478,   4532,   4822,   5419
    5456,   6629,   6724,   6791,   6947,   7012,   7246,   7272,   7414,   7772
    7812,   8506,   8603,   8633,   8773,   8892,   8993,   9102,   9136,   9239
    9536,   9646,   9744,   9931,   9941,  10056,  10234,  10237,  10286,  10904
   11080,  11327,  11360,  11511,  11684,  11693,  11789,  11851,  12135,  12167
   12312,  12588,  12644,  12858,  13362,  13797,  13847,  13870,  13963,  14445
   14519,  14631,  14673,  14772,  15070,  15202,  15387,  15656,  15881,  15888
   16448,  17094,  17456,  18461,  18610,  18849,  19056,  19160,  19379,  19798
   19876,  19993,  20382,  20397,  20855,  21077,  21123,  21602,  21762,  21798
   22133,  22474,  22534,  22613,  22648,  23400,  23518,  23536,  23769,  23962
   24433,  24458,  24649,  24851,  25315,  25368,  25379,  25558,  25580,  25785
   26030,  26324,  26860,  27418,  27462,  27697,  28089,  28417,  29489,  29730
   29761,  30126,  30324,  30330,  30387,  30660,  31152,  31427,  31472,  31826
   32495,  32523,  32670,  33305,  33657,  33765,  33915,  34152,  34979,  35167
   35359,  35870,  35871,  35875,  35891,  35946,  36157,  36318,  36448,  36729
   36863,  37312,  37515,  37764,  37923,  38568,  39004,  39545,  39572,  39633
   39744,  39864,  39986,  40119,  40121,  40203,  40541,  40741,  41153,  41732
   41853,  42006,  42047,  42195,  42611,  42702,  43480,  43492,  43569,  44185
   44223,  44999,  45068,  45151,  45237,  45251,  45375,  45477,  45910,  46355
   46499,  46591,  46663,  46964,  47323,  47627,  47970,  48040,  48125,  48354
   48705,  48718,  48786,  49099,  49142,  49270,  49524,  49618,  49824
